_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
125,ARH0174,502-508 Spadina Ave,502 Spadina Ave,Planning Applications Under Review,11,University-Rosedale,129,0,0,"{""coordinates"": [[-79.40081069, 43.65869418]], ""type"": ""MultiPoint""}"
126,ARH0176,510-528 Yonge Street and 7 Breadalbane Street ,510 Yonge St,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,25,0,0,"{""coordinates"": [[-79.38417999, 43.66342015]], ""type"": ""MultiPoint""}"
127,ARH0177,525 Markham Road,525 Markham Rd,Started Construction,24,Scarborough-Guildwood,0,0,62,"{""coordinates"": [[-79.22397358, 43.75675421]], ""type"": ""MultiPoint""}"
128,ARH0179,540 Cedarvale Avenue,540 Cedarvale Ave,Completed,19,Beaches-East York,0,0,59,"{""coordinates"": [[-79.31672339, 43.69838232]], ""type"": ""MultiPoint""}"
129,ARH0182,5507 and 5509 Dundas Street West,5507 Dundas St W,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,6,0,0,"{""coordinates"": [[-79.54476522, 43.63167275]], ""type"": ""MultiPoint""}"
130,ARH0187,6 Dawes Road (Phase 2),6 Dawes Rd,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,6,0,0,"{""coordinates"": [[-79.29877738, 43.68711716]], ""type"": ""MultiPoint""}"
131,ARH0188,6 Shipman Street,6 Shipman St,Completed,4,Parkdale-High Park,0,0,2,"{""coordinates"": [[-79.475807, 43.666913]], ""type"": ""MultiPoint""}"
132,ARH0189,6020 Bathurst Street,6020 Bathurst St,Approved OPAs and Zoning By-Law Amendments,6,York Centre,10,0,0,"{""coordinates"": [[-79.44737422, 43.78708751]], ""type"": ""MultiPoint""}"
133,ARH0190,6040 Bathurst Street,6040 Bathurst St,Approved OPAs and Zoning By-Law Amendments,6,York Centre,10,0,0,"{""coordinates"": [[-79.44765194, 43.78904449]], ""type"": ""MultiPoint""}"
134,ARH0191,62 Orchard Park Drive,62 Orchard Park Dr,Approved OPAs and Zoning By-Law Amendments,25,Scarborough-Rouge Park,47,0,0,"{""coordinates"": [[-79.17960779, 43.77419123]], ""type"": ""MultiPoint""}"
135,ARH0193,625 Church Street,625 Church St,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,15,0,0,"{""coordinates"": [[-79.38235004, 43.66989506]], ""type"": ""MultiPoint""}"
136,ARH0194,630 Spadina Avenue,630 Spadina Avenue ,Planning Applications Under Review,11,University-Rosedale,47,0,0,"{""coordinates"": [[-79.402491, 43.662618]], ""type"": ""MultiPoint""}"
137,ARH0197,65 Dundas St E - phase 1 ,65 Dundas St E,Completed,13,Toronto Centre,0,0,92,"{""coordinates"": [[-79.37845424, 43.65601111]], ""type"": ""MultiPoint""}"
138,ARH0198,65 Dundas St E - phase 2,65 Dundas St E,Completed,13,Toronto Centre,0,0,188,"{""coordinates"": [[-79.37845424, 43.65601111]], ""type"": ""MultiPoint""}"
139,ARH0200,65 to 99 Silver Springs Blvd,65 Silver Springs Blvd,Approved OPAs and Zoning By-Law Amendments,22,Scarborough-Agincourt,9,0,0,"{""coordinates"": [[-79.30423789, 43.80132103]], ""type"": ""MultiPoint""}"
140,ARH0203,7 Vanauley Street,7 Vanauley St,Started Construction,10,Spadina-Fort York,0,0,31,"{""coordinates"": [[-79.39830825, 43.64882517]], ""type"": ""MultiPoint""}"
141,ARH0204,705 Warden Avenue,705 Warden Ave,Planning Applications Under Review,20,Scarborough Southwest,225,350,25,"{""coordinates"": [[-79.28062463, 43.71343298]], ""type"": ""MultiPoint""}"
142,ARH0205,729 St Clair Avenue West,729 St Clair Ave W,Pre-Planning,12,Toronto-St. Pauls,26,0,0,"{""coordinates"": [[-79.4274778, 43.6811414]], ""type"": ""MultiPoint""}"
143,ARH0206,75 Tandridge Crescent,75 Tandridge Crescent,Planning Applications Under Review,1,Etobicoke North,113,0,0,"{""coordinates"": [[-79.54647089, 43.72900648]], ""type"": ""MultiPoint""}"
144,ARH0207,770 Don Mills Road,770 Don Mills Rd,Approved OPAs and Zoning By-Law Amendments,16,Don Valley East,377,836,41,"{""coordinates"": [[-79.33814896, 43.7164526]], ""type"": ""MultiPoint""}"
145,ARH0208,777 Victoria Park,777 Victoria Park Ave,Started Construction,20,Scarborough Southwest,231,449,25,"{""coordinates"": [[-79.28915706, 43.69454357]], ""type"": ""MultiPoint""}"
146,ARH0209,7-9 Norris Crescent,17 Norris Cr,Planning Applications Under Review,3,Etobicoke-Lakeshore,33,0,0,"{""coordinates"": [[-79.48839647, 43.61104091]], ""type"": ""MultiPoint""}"
147,ARH0211,805 Don Mills Road,805 Don Mills Rd,Approved OPAs and Zoning By-Law Amendments,16,Don Valley East,257,268,29,"{""coordinates"": [[-79.33830504, 43.72021841]], ""type"": ""MultiPoint""}"
148,ARH0212,815-845 Eglinton Avenue East,815 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,15,Don Valley West,40,0,0,"{""coordinates"": [[-79.36428549, 43.7135245]], ""type"": ""MultiPoint""}"
